page,action,key,value,timestamp
speak text,Receieved text and level:Are you ready to start?normal,,,1753809422568
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1753809422568
,Controller Executing: click on start-button with value: undefined,,,1753809425911
index,confirm button pressed,,,1753809425911
,,,,
map,selected helipad,,,1753809426961
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1753809427799
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1753809427799
,Controller Executing: click on confirm-button with value: undefined,,,1753809432740
,,,,
checklist,opened page,,,1753809432834
map,selected helipad,,,1753809433812
Jarvis speaking,Message: Put on your seatbelts and ensure that all equipments are secure Stress level: normal,,,1753809434505
checklist,toggled checkbox,,,1753809443116
checklist,toggled checkbox,,,1753809445618
checklist,toggled checkbox,,,1753809447630
checklist,showing confirm button,,,1753809447631
checklist,confirm button clicked,,,1753809449734
countdown,opened page,,,1753809449794
map,selected helipad,,,1753809450774
countdown,countdown now 4,,,1753809450796
countdown,countdown now 3,,,1753809451798
countdown,countdown now 2,,,1753809452797
speak text,"Receieved text and level:Acknowledge, Taking Offnormal",,,1753809453153
countdown,countdown now 1,,,1753809453796
countdown,countdown now 0,,,1753809454797
countdown,countdown complete,,,1753809455795
,Starting prompt cycle,,,1753809456505
,Starting prompt cycle,,,1753809456537
map,selected helipad,,,1753809456851
emergency,trying to change destination to100,,,1753809460907
inflight,displaying vitals prompt,,,1753809465117
vitals prompt,log vitals prompted,,,1753809465117
vitals prompt,vitals_prompt 1,,,1753809465117
emergency,trying to change destination to19,,,1753809465879
speak text,Receieved text and level:This is Jarvis. Call me if you need any help.normal,,,1753809467960
Jarvis speaking,Message: This is Jarvis. Call me if you need any help. Stress level: normal,,,1753809467961
,user acknowledged vitals prompt,,,1753809468405
Heart Rate,opened sensor tab,,,1753809470295
emergency,trying to change destination to19,,,1753809470896
Heart Rate,capture,,,1753809472797
Heart Rate,capture,,,1753809472797
Heart Rate,capture,,,1753809473808
Heart Rate,keypad open,,,1753809473809
Heart Rate,keypad press,5,5,1753809475053
Heart Rate,keypad press,5,55,1753809475205
emergency,trying to change destination to19,,,1753809475882
Heart Rate,keypad press,10,55,1753809476470
Heart Rate,log,,,1753809477477
Heart Rate,log,,,1753809477477
Heart Rate,log,,,1753809478489
Heart Rate,save,,,1753809478869
Heart Rate,save,,,1753809479882
vitals prompt,auto off vitals prompt,,,1753809480118
O₂ Saturation,opened sensor tab,,,1753809480285
emergency,trying to change destination to19,,,1753809480884
O₂ Saturation,capture,,,1753809481716
O₂ Saturation,capture,,,1753809481716
O₂ Saturation,capture,,,1753809482731
O₂ Saturation,keypad open,,,1753809482731
O₂ Saturation,keypad press,1,1,1753809484077
O₂ Saturation,keypad press,11,10,1753809485406
O₂ Saturation,keypad press,11,100,1753809485797
emergency,trying to change destination to19,,,1753809485898
O₂ Saturation,show action buttons,,,1753809486349
O₂ Saturation,keypad press,10,100,1753809486349
O₂ Saturation,log,,,1753809487013
O₂ Saturation,log,,,1753809487013
O₂ Saturation,log,,,1753809488026
O₂ Saturation,save,,,1753809488397
O₂ Saturation,save,,,1753809488397
O₂ Saturation,save,,,1753809489412
