page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1753796770866
Heart Rate,keypad open,,,1753796770866
Heart Rate,show action buttons,,,1753796770867
Heart Rate,capture,,,1753797071491
Heart Rate,capture,,,1753797071491
Heart Rate,keypad open,,,1753797072511
Heart Rate,keypad press,5,5,1753797076875
Heart Rate,keypad press,5,55,1753797078875
Heart Rate,show action buttons,,,1753797080274
Heart Rate,keypad press,10,55,1753797080276
Heart Rate,log,,,1753797082755
Heart Rate,log,,,1753797082755
Heart Rate,log,,,1753797083765
Heart Rate,save,,,1753797085107
Heart Rate,save,,,1753797085107
Heart Rate,save,,,1753797086120
O₂ Saturation,opened sensor tab,,,1753797091995
O₂ Saturation,capture,,,1753797093971
O₂ Saturation,capture,,,1753797093971
O₂ Saturation,keypad open,,,1753797094987
O₂ Saturation,keypad press,1,1,1753797095988
O₂ Saturation,keypad press,11,10,1753797096603
O₂ Saturation,keypad press,11,100,1753797096763
O₂ Saturation,show action buttons,,,1753797097803
O₂ Saturation,log,,,1753797099396
O₂ Saturation,log,,,1753797100406
O₂ Saturation,save,,,1753797101051
O₂ Saturation,save,,,1753797101051
O₂ Saturation,save,,,1753797102066
Blood Pressure,opened sensor tab,,,1753797103483
Blood Pressure,capture,,,1753797105275
Blood Pressure,capture,,,1753797105276
Blood Pressure,capture,,,1753797106294
Blood Pressure,keypad open,,,1753797106295
Blood Pressure,keypad press,1,1,1753797107493
Blood Pressure,keypad press,2,12,1753797107916
Blood Pressure,keypad press,11,120,1753797108644
Blood Pressure,keypad press,8,1208,1753797109091
Blood Pressure,keypad press,11,12080,1753797109587
Blood Pressure,show action buttons,,,1753797110187
Blood Pressure,keypad press,10,12080,1753797110188
Blood Pressure,log,,,1753797111299
Blood Pressure,log,,,1753797111299
Blood Pressure,log,,,1753797112318
Blood Pressure,save,,,1753797112803
Blood Pressure,save,,,1753797112804
Blood Pressure,save,,,1753797113821
submit,submit,,,1753797116114
submit,submit,,,1753797116115
speak text,Receieved text and level:Are you ready to start?normal,,,1753797253439
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1753797253440
,Controller Executing: click on start-button with value: undefined,,,1753797256885
,,,,
map,selected helipad,,,1753797257951
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1753797258271
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1753797258272
,Controller Executing: click on confirm-button with value: undefined,,,1753797263631
checklist,opened page,,,1753797263724
map,selected helipad,,,1753797264701
Jarvis speaking,Message: Put on your seatbelts and ensure that all equipments are secure Stress level: normal,,,1753797266835
checklist,toggled checkbox,,,1753797287673
checklist,toggled checkbox,,,1753797289641
checklist,toggled checkbox,,,1753797291509
checklist,showing confirm button,,,1753797291509
checklist,confirm button clicked,,,1753797293657
countdown,opened page,,,1753797293720
map,selected helipad,,,1753797294698
countdown,countdown now 4,,,1753797294721
countdown,countdown now 3,,,1753797295720
speak text,"Receieved text and level:Acknowledge, Taking Offnormal",,,1753797296075
countdown,countdown now 2,,,1753797296723
countdown,countdown now 1,,,1753797297723
countdown,countdown now 0,,,1753797298721
countdown,countdown complete,,,1753797299721
,Starting prompt cycle,,,1753797300141
,Starting prompt cycle,,,1753797300170
map,selected helipad,,,1753797300815
emergency,trying to change destination to100,,,1753797304848
inflight,displaying vitals prompt,,,1753797309193
vitals prompt,log vitals prompted,,,1753797309193
vitals prompt,vitals_prompt 1,,,1753797309193
emergency,trying to change destination to19,,,1753797309862
emergency,trying to change destination to19,,,1753797314853
,user acknowledged vitals prompt,,,1753797316129
emergency,trying to change destination to19,,,1753797319876
Blood Pressure,capture,,,1753797322738
Blood Pressure,capture,,,1753797322738
Blood Pressure,keypad open,,,1753797323756
vitals prompt,auto off vitals prompt,,,1753797324194
emergency,trying to change destination to19,,,1753797324867
Blood Pressure,keypad press,1,1,1753797325354
Blood Pressure,keypad press,2,12,1753797325834
Blood Pressure,keypad press,11,120,1753797326521
Blood Pressure,keypad press,8,1208,1753797328081
Blood Pressure,keypad press,11,12080,1753797328673
Blood Pressure,show action buttons,,,1753797329466
Blood Pressure,keypad press,10,12080,1753797329467
emergency,trying to change destination to19,,,1753797329875
Blood Pressure,log,,,1753797330666
Blood Pressure,log,,,1753797330666
Blood Pressure,log,,,1753797331682
Blood Pressure,save,,,1753797332474
Blood Pressure,save,,,1753797333495
emergency,trying to change destination to19,,,1753797334871
O₂ Saturation,opened sensor tab,,,1753797335194
O₂ Saturation,capture,,,1753797337193
O₂ Saturation,capture,,,1753797337193
O₂ Saturation,capture,,,1753797338205
