page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1753798714773
Heart Rate,keypad open,,,1753798714774
Heart Rate,show action buttons,,,1753798714774
speak text,Receieved text and level:Are you ready to start?normal,,,1753798744137
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1753798744137
index,confirm button pressed,,,1753798747067
,,,,
map,selected helipad,,,1753798748126
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1753798748582
,Controller Executing: click on confirm-button with value: undefined,,,1753798752394
,,,,
checklist,opened page,,,1753798752478
map,selected helipad,,,1753798753455
speak text,Receieved text and level:Put on your seatbelts and ensure that all equipments are securenormal,,,1753798757547
Jarvis speaking,Message: Put on your seatbelts and ensure that all equipments are secure Stress level: normal,,,1753798757547
checklist,toggled checkbox,,,1753798762061
checklist,toggled checkbox,,,1753798765033
checklist,toggled checkbox,,,1753798765985
checklist,showing confirm button,,,1753798765985
,Controller Executing: click on confirm-button with value: undefined,,,1753798767837
checklist,confirm button clicked,,,1753798767837
countdown,opened page,,,1753798767905
map,selected helipad,,,1753798768884
countdown,countdown now 4,,,1753798768920
speak text,"Receieved text and level:Acknowledge, Taking Offnormal",,,1753798768984
Jarvis speaking,"Message: Acknowledge, Taking Off Stress level: normal",,,1753798768984
countdown,countdown now 3,,,1753798769907
countdown,countdown now 2,,,1753798770906
countdown,countdown now 1,,,1753798771907
countdown,countdown now 0,,,1753798772908
countdown,countdown complete,,,1753798773909
,Starting prompt cycle,,,1753798774831
,Starting prompt cycle,,,1753798774857
map,selected helipad,,,1753798775020
emergency,trying to change destination to100,,,1753798779077
inflight,displaying vitals prompt,,,1753798781581
vitals prompt,log vitals prompted,,,1753798781581
vitals prompt,vitals_prompt 1,,,1753798781582
emergency,trying to change destination to19,,,1753798784090
,user acknowledged vitals prompt,,,1753798786040
Heart Rate,capture,,,1753798788208
emergency,trying to change destination to19,,,1753798789073
Heart Rate,keypad open,,,1753798789223
Heart Rate,keypad press,5,5,1753798790399
Heart Rate,keypad press,5,55,1753798790751
Heart Rate,show action buttons,,,1753798791431
Heart Rate,keypad press,10,55,1753798791431
speak text,Receieved text and level:Everything good . Enjoy the flightnormal,,,1753798791740
Jarvis speaking,Message: Everything good . Enjoy the flight Stress level: normal,,,1753798791741
Heart Rate,log,,,1753798792160
Heart Rate,log,,,1753798792161
Heart Rate,log,,,1753798793176
emergency,trying to change destination to19,,,1753798794049
Heart Rate,save,,,1753798795271
Heart Rate,save,,,1753798795271
Heart Rate,save,,,1753798796282
vitals prompt,auto off vitals prompt,,,1753798796582
O₂ Saturation,opened sensor tab,,,1753798798519
emergency,trying to change destination to19,,,1753798799047
O₂ Saturation,capture,,,1753798800038
O₂ Saturation,capture,,,1753798800039
O₂ Saturation,capture,,,1753798801058
O₂ Saturation,keypad open,,,1753798801059
O₂ Saturation,keypad press,1,1,1753798801896
O₂ Saturation,keypad press,11,10,1753798802839
O₂ Saturation,keypad press,11,100,1753798803175
O₂ Saturation,show action buttons,,,1753798803735
O₂ Saturation,keypad press,10,100,1753798803735
emergency,trying to change destination to19,,,1753798804065
O₂ Saturation,log,,,1753798804384
O₂ Saturation,log,,,1753798805399
O₂ Saturation,save,,,1753798806391
O₂ Saturation,save,,,1753798807410
Blood Pressure,opened sensor tab,,,1753798808687
emergency,trying to change destination to19,,,1753798809076
Blood Pressure,capture,,,1753798810190
Blood Pressure,capture,,,1753798810191
Blood Pressure,capture,,,1753798811202
Blood Pressure,keypad open,,,1753798811203
Blood Pressure,keypad press,1,1,1753798812390
Blood Pressure,keypad press,2,12,1753798812767
Blood Pressure,keypad press,11,120,1753798813439
Blood Pressure,keypad press,8,1208,1753798813991
emergency,trying to change destination to19,,,1753798814055
Blood Pressure,keypad press,11,12080,1753798814463
Blood Pressure,show action buttons,,,1753798815343
Blood Pressure,keypad press,10,12080,1753798815343
Blood Pressure,log,,,1753798816464
Blood Pressure,log,,,1753798816464
Blood Pressure,log,,,1753798817473
Blood Pressure,save,,,1753798817815
Blood Pressure,save,,,1753798818828
emergency,trying to change destination to19,,,1753798819067
submit,submit,,,1753798819783
submit,submit,,,1753798819783
emergency,trying to change destination to19,,,1753798824074
speak text,Receieved text and level:Vitals received and stable.normal,,,1753798824174
Jarvis speaking,Message: Vitals received and stable. Stress level: normal,,,1753798824174
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1753798825593
radio update,radio update asked,,,1753798825594
radio prompt,radio update prompt 1,,,1753798825594
speak text,Receieved text and level:Opening mapnormal,,,1753798827889
Jarvis speaking,Message: Opening map Stress level: normal,,,1753798827890
map,selected helipad,,,1753798828528
map,selected helipad,,,1753798829041
emergency,trying to change destination to19,,,1753798829051
emergency,trying to change destination to19,,,1753798834066
emergency,trying to change destination to19,,,1753798839047
speak text,Receieved text and level:Less than ten minutes to destinationnormal,,,1753798843894
Jarvis speaking,Message: Less than ten minutes to destination Stress level: normal,,,1753798843894
emergency,trying to change destination to19,,,1753798844048
emergency,trying to change destination to19,,,1753798849070
emergency,trying to change destination to19,,,1753798854077
emergency,trying to change destination to19,,,1753798859049
speak text,Receieved text and level:How is the flight so far? Is the patient stable?normal,,,1753798859831
Jarvis speaking,Message: How is the flight so far? Is the patient stable? Stress level: normal,,,1753798859831
emergency,trying to change destination to19,,,1753798864052
emergency,trying to change destination to19,,,1753798869075
Jarvis speaking,Message: Thank you. Stress level: normal,,,1753798870268
emergency,trying to change destination to19,,,1753798874047
inflight,displaying vitals prompt,,,1753798876710
vitals prompt,log vitals prompted,,,1753798876711
vitals prompt,vitals_prompt 2,,,1753798876711
emergency,trying to change destination to19,,,1753798879067
,user acknowledged vitals prompt,,,1753798880014
Blood Pressure,capture,,,1753798883135
Blood Pressure,capture,,,1753798883135
emergency,trying to change destination to19,,,1753798884077
Blood Pressure,capture,,,1753798884153
Blood Pressure,keypad open,,,1753798884154
Blood Pressure,keypad press,1,1,1753798885262
Blood Pressure,keypad press,2,12,1753798885687
Blood Pressure,keypad press,11,120,1753798886398
Blood Pressure,keypad press,8,1208,1753798887031
Blood Pressure,keypad press,11,12080,1753798887527
Blood Pressure,show action buttons,,,1753798888214
Blood Pressure,keypad press,10,12080,1753798888214
emergency,trying to change destination to19,,,1753798889047
