page,action,key,value,timestamp
index,opened page,,,1752771963983
map,selected helipad,,,1752771964920
Heart Rate,opened sensor tab,,,1752772104295
Heart Rate,keypad open,,,1752772104296
Heart Rate,show action buttons,,,1752772104296
speak text,Receieved text and level:Are you ready to start?normal,,,1752772129294
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752772129294
index,confirm button pressed,,,1752772131966
,,,,
map,selected helipad,,,1752772133027
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1752772133558
,Controller Executing: click on confirm-button with value: undefined,,,1752772139815
,,,,
checklist,opened page,,,1752772139904
map,selected helipad,,,1752772140890
checklist,toggled checkbox,,,1752772144469
checklist,toggled checkbox,,,1752772146812
Heart Rate,opened sensor tab,,,1752772148020
checklist,toggled checkbox,,,1752772148075
checklist,showing confirm button,,,1752772148075
Heart Rate,capture,,,1752772149827
Heart Rate,capture,,,1752772149827
checklist,confirm button clicked,,,1752772150326
countdown,opened page,,,1752772150383
Heart Rate,capture,,,1752772150844
Heart Rate,keypad open,,,1752772150844
map,selected helipad,,,1752772151368
countdown,countdown now 4,,,1752772151395
Jarvis speaking,"Message: Acknowledge, Taking Off Stress level: normal",,,1752772151971
countdown,countdown now 3,,,1752772152386
Heart Rate,keypad press,5,5,1752772152659
Heart Rate,keypad press,5,55,1752772152829
Heart Rate,show action buttons,,,1752772153370
Heart Rate,keypad press,10,55,1752772153371
countdown,countdown now 2,,,1752772153385
countdown,countdown now 1,,,1752772154394
Heart Rate,log,,,1752772154731
Heart Rate,log,,,1752772154731
countdown,countdown now 0,,,1752772155384
Heart Rate,log,,,1752772155752
Heart Rate,save,,,1752772156115
countdown,countdown complete,,,1752772156385
Heart Rate,save,,,1752772157129
,Starting prompt cycle,,,1752772157344
,Starting prompt cycle,,,1752772157374
map,selected helipad,,,1752772157475
O₂ Saturation,opened sensor tab,,,1752772158115
O₂ Saturation,capture,,,1752772160507
O₂ Saturation,capture,,,1752772160507
speak text,Receieved text and level:Opening mapnormal,,,1752772161027
Jarvis speaking,Message: Opening map Stress level: normal,,,1752772161027
O₂ Saturation,capture,,,1752772161525
O₂ Saturation,keypad open,,,1752772161526
map,selected helipad,,,1752772161984
O₂ Saturation,keypad press,1,1,1752772162307
map,selected helipad,,,1752772162480
O₂ Saturation,keypad press,11,10,1752772162843
O₂ Saturation,keypad press,11,100,1752772162987
O₂ Saturation,show action buttons,,,1752772163476
O₂ Saturation,keypad press,10,100,1752772163477
O₂ Saturation,log,,,1752772164276
O₂ Saturation,log,,,1752772165295
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752772165566
radio update,radio update asked,,,1752772165567
radio prompt,radio update prompt 1,,,1752772165567
O₂ Saturation,save,,,1752772165667
O₂ Saturation,save,,,1752772165667
O₂ Saturation,save,,,1752772166681
Blood Pressure,opened sensor tab,,,1752772167500
Blood Pressure,capture,,,1752772168483
Blood Pressure,capture,,,1752772168483
speak text,Receieved text and level:welcomenormal,,,1752772169268
Jarvis speaking,Message: welcome Stress level: normal,,,1752772169268
Blood Pressure,capture,,,1752772169502
Blood Pressure,keypad open,,,1752772169502
Blood Pressure,keypad press,1,1,1752772170091
Blood Pressure,keypad press,2,12,1752772170589
Blood Pressure,keypad press,11,120,1752772171179
Blood Pressure,keypad press,8,1208,1752772171506
Blood Pressure,keypad press,11,12080,1752772171907
Blood Pressure,show action buttons,,,1752772172314
Blood Pressure,keypad press,10,12080,1752772172315
Blood Pressure,log,,,1752772173170
Blood Pressure,log,,,1752772173171
Blood Pressure,log,,,1752772174183
Blood Pressure,save,,,1752772174579
Blood Pressure,save,,,1752772174580
Blood Pressure,save,,,1752772175600
submit,submit,,,1752772175986
submit,submit,,,1752772175986
speak text,Receieved text and level:vitals received and stable.normal,,,1752772185420
Jarvis speaking,Message: vitals received and stable. Stress level: normal,,,1752772185420
speak text,Receieved text and level:Everything good and clear. Enjoy the flight.normal,,,1752772200249
Jarvis speaking,Message: Everything good and clear. Enjoy the flight. Stress level: normal,,,1752772200250
Heart Rate,opened sensor tab,,,1752772229505
Heart Rate,capture,,,1752772230937
Heart Rate,capture,,,1752772230937
Heart Rate,capture,,,1752772231953
Heart Rate,keypad open,,,1752772231954
Heart Rate,keypad press,5,5,1752772232666
Heart Rate,keypad press,5,55,1752772232857
Heart Rate,keypad press,10,55,1752772233507
inflight,displaying vitals prompt,,,1752772233754
vitals prompt,log vitals prompted,,,1752772233754
vitals prompt,vitals_prompt 1,,,1752772233755
