page,action,key,value,timestamp
speak text,Receieved text and level:Are you ready to start?normal,,,1752771417685
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752771417685
,Controller Executing: click on start-button with value: undefined,,,1752771420537
index,confirm button pressed,,,1752771420537
,,,,
map,selected helipad,,,1752771421585
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1752771422452
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1752771422452
,Controller Executing: click on confirm-button with value: undefined,,,1752771427332
,,,,
checklist,opened page,,,1752771427404
map,selected helipad,,,1752771428395
checklist,toggled checkbox,,,1752771431035
checklist,toggled checkbox,,,1752771433169
checklist,showing confirm button,,,1752771435180
,Controller Executing: click on confirm-button with value: undefined,,,1752771436938
checklist,confirm button clicked,,,1752771436939
countdown,opened page,,,1752771437001
map,selected helipad,,,1752771437981
countdown,countdown now 4,,,1752771438004
Jarvis speaking,"Message: Acknowledge, Taking Off Stress level: normal",,,1752771438250
countdown,countdown now 3,,,1752771439006
countdown,countdown now 2,,,1752771440006
countdown,countdown now 1,,,1752771441007
countdown,countdown now 0,,,1752771442008
countdown,countdown complete,,,1752771443003
,Starting prompt cycle,,,1752771443405
,Starting prompt cycle,,,1752771443434
map,selected helipad,,,1752771444115
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752771448084
radio update,radio update asked,,,1752771448085
radio prompt,radio update prompt 1,,,1752771448085
emergency,trying to change destination to100,,,1752771448165
speak text,Receieved text and level:Opening mapnormal,,,1752771449607
Jarvis speaking,Message: Opening map Stress level: normal,,,1752771449608
map,selected helipad,,,1752771450121
map,selected helipad,,,1752771450626
emergency,trying to change destination to19,,,1752771453141
emergency,trying to change destination to19,,,1752771458148
emergency,trying to change destination to19,,,1752771463150
emergency,trying to change destination to19,,,1752771468140
speak text,Receieved text and level:This is Jarvis. Call me if you need any helpnormal,,,1752771470127
Jarvis speaking,Message: This is Jarvis. Call me if you need any help Stress level: normal,,,1752771470127
emergency,trying to change destination to19,,,1752771473152
inflight,displaying vitals prompt,,,1752771473554
vitals prompt,log vitals prompted,,,1752771473554
vitals prompt,vitals_prompt 1,,,1752771473554
,user acknowledged vitals prompt,,,1752771477355
emergency,trying to change destination to19,,,1752771478166
Heart Rate,opened sensor tab,,,1752771478979
Heart Rate,capture,,,1752771480028
Heart Rate,capture,,,1752771480029
Heart Rate,keypad open,,,1752771481048
Heart Rate,keypad press,5,5,1752771482211
Heart Rate,keypad press,5,55,1752771482357
emergency,trying to change destination to19,,,1752771483144
Heart Rate,show action buttons,,,1752771483196
Heart Rate,keypad press,10,55,1752771483196
Heart Rate,log,,,1752771483883
Heart Rate,log,,,1752771483883
Heart Rate,log,,,1752771484898
Heart Rate,save,,,1752771485284
Heart Rate,save,,,1752771485284
Heart Rate,save,,,1752771486305
O₂ Saturation,opened sensor tab,,,1752771487750
emergency,trying to change destination to19,,,1752771488143
vitals prompt,auto off vitals prompt,,,1752771488556
O₂ Saturation,capture,,,1752771488812
O₂ Saturation,capture,,,1752771488812
O₂ Saturation,capture,,,1752771489829
O₂ Saturation,keypad open,,,1752771489829
O₂ Saturation,keypad press,1,1,1752771490484
O₂ Saturation,keypad press,11,10,1752771491147
O₂ Saturation,keypad press,11,100,1752771491435
O₂ Saturation,show action buttons,,,1752771491795
O₂ Saturation,keypad press,10,100,1752771491795
O₂ Saturation,log,,,1752771492643
emergency,trying to change destination to19,,,1752771493163
O₂ Saturation,log,,,1752771493657
O₂ Saturation,save,,,1752771494013
O₂ Saturation,save,,,1752771494013
O₂ Saturation,save,,,1752771495028
Blood Pressure,opened sensor tab,,,1752771495475
Blood Pressure,capture,,,1752771496651
Blood Pressure,capture,,,1752771496652
Blood Pressure,keypad open,,,1752771497669
emergency,trying to change destination to19,,,1752771498171
Blood Pressure,keypad press,1,1,1752771498349
Blood Pressure,keypad press,2,12,1752771498884
Blood Pressure,keypad press,11,120,1752771499469
Blood Pressure,keypad press,8,1208,1752771499867
Blood Pressure,keypad press,11,12080,1752771500155
Blood Pressure,show action buttons,,,1752771500740
Blood Pressure,keypad press,10,12080,1752771500740
Blood Pressure,log,,,1752771501499
Blood Pressure,log,,,1752771501499
Blood Pressure,log,,,1752771502522
Blood Pressure,save,,,1752771502963
Blood Pressure,save,,,1752771502963
emergency,trying to change destination to19,,,1752771503140
Blood Pressure,save,,,1752771503983
submit,submit,,,1752771505236
submit,submit,,,1752771505236
emergency,trying to change destination to19,,,1752771508162
speak text,Receieved text and level:vitals received and stable.normal,,,1752771508563
Jarvis speaking,Message: vitals received and stable. Stress level: normal,,,1752771508563
emergency,trying to change destination to19,,,1752771513174
emergency,trying to change destination to19,,,1752771518142
speak text,Receieved text and level:Everything good and clear so far. Enjoy the flightnormal,,,1752771522163
Jarvis speaking,Message: Everything good and clear so far. Enjoy the flight Stress level: normal,,,1752771522163
emergency,trying to change destination to19,,,1752771523162
emergency,trying to change destination to19,,,1752771528172
emergency,trying to change destination to19,,,1752771533141
emergency,trying to change destination to19,,,1752771538163
emergency,trying to change destination to19,,,1752771543174
emergency,trying to change destination to19,,,1752771548155
emergency,trying to change destination to19,,,1752771553164
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752771553904
radio update,radio update asked,,,1752771553905
radio prompt,radio update prompt 2,,,1752771553907
emergency,trying to change destination to19,,,1752771558144
emergency,trying to change destination to19,,,1752771563146
Jarvis speaking,Message: How is the flight? Are you enjoying it? Stress level: normal,,,1752771565344
emergency,trying to change destination to19,,,1752771568161
emergency,trying to change destination to19,,,1752771573171
speak text,Receieved text and level:thanksnormal,,,1752771573682
Jarvis speaking,Message: thanks Stress level: normal,,,1752771573682
emergency,trying to change destination to19,,,1752771578139
emergency,trying to change destination to19,,,1752771583161
emergency,trying to change destination to19,,,1752771588141
emergency,trying to change destination to19,,,1752771593142
speak text,Receieved text and level:about 10 minutesnormal,,,1752771596033
Jarvis speaking,Message: about 10 minutes Stress level: normal,,,1752771596033
emergency,trying to change destination to19,,,1752771598161
Jarvis speaking,Message: welcome Stress level: normal,,,1752771602206
emergency,trying to change destination to19,,,1752771603140
emergency,trying to change destination to19,,,1752771608145
speak text,Receieved text and level:Call me if you need any helpnormal,,,1752771610312
Jarvis speaking,Message: Call me if you need any help Stress level: normal,,,1752771610312
emergency,trying to change destination to19,,,1752771613148
emergency,trying to change destination to19,,,1752771618148
emergency,trying to change destination to19,,,1752771623147
emergency,"show Pressure Miscalibrated Warning, hide map",,,1752771623147
map,hide map,,,1752771623148
Inflight,Pressure Warning alert activated,,,1752771623148
Inflight,showing emergency: low Low Pressure Warning <div> Report the reading from the secondary hydraulic pressure gauge</div>,,,1752771623149
Jarvis speaking,"Message: Hydraulic pressure anomaly detected. Request reading from backup pressure gauge, left panel, third dial. Stress level: normal",,,1752771623149
emergency,trying to change destination to19,,,1752771628151
Heart Rate,opened sensor tab,,,1752771629235
inflight,displaying vitals prompt,,,1752771632492
vitals prompt,log vitals prompted,,,1752771632493
vitals prompt,vitals_prompt 2,,,1752771632494
Jarvis speaking,Message: What is the current engine pressure in  p s i Stress level: normal,,,1752771632531
emergency,trying to change destination to19,,,1752771633140
emergency,trying to change destination to19,,,1752771638151
,Controller Executing: set-value on valueInput with value: 13,,,1752771642440
speak text,Receieved text and level:settingpressureinputto13normal,,,1752771642440
Jarvis speaking,Message: settingpressureinputto13 Stress level: normal,,,1752771642440
emergency,trying to change destination to19,,,1752771643164
,Controller Executing: click on submit-button with value: undefined,,,1752771644801
Jarvis speaking,Message: Copy. Sensor miscalibration likely. WARNING CLEARED. System status: Normal. Continuing course. Stress level: normal,,,1752771644801
,user acknowledged vitals prompt,,,1752771647466
,Controller Executing: click on submit-button with value: undefined,,,1752771647448
Jarvis speaking,Message: Copy. Sensor miscalibration likely. WARNING CLEARED. System status: Normal. Continuing course. Stress level: normal,,,1752771647449
Inflight,user entered correct value: 20,,,1752771647449
vitals prompt,auto off vitals prompt,,,1752771647493
emergency,trying to change destination to19,,,1752771648142
Heart Rate,opened sensor tab,,,1752771650468
Heart Rate,capture,,,1752771651523
Heart Rate,capture,,,1752771651523
Heart Rate,capture,,,1752771652535
Heart Rate,keypad open,,,1752771652536
emergency,trying to change destination to19,,,1752771653153
Heart Rate,keypad press,5,5,1752771654059
Heart Rate,keypad press,5,55,1752771654195
Heart Rate,show action buttons,,,1752771654946
Heart Rate,keypad press,10,55,1752771654947
Heart Rate,log,,,1752771657283
emergency,trying to change destination to19,,,1752771658159
Heart Rate,log,,,1752771658294
Heart Rate,save,,,1752771658786
Heart Rate,save,,,1752771658786
Heart Rate,save,,,1752771659802
speak text,Receieved text and level:Opening mapnormal,,,1752771661073
Jarvis speaking,Message: Opening map Stress level: normal,,,1752771661073
map,selected helipad,,,1752771661620
map,selected helipad,,,1752771662126
O₂ Saturation,opened sensor tab,,,1752771662386
emergency,trying to change destination to19,,,1752771663172
O₂ Saturation,capture,,,1752771663635
O₂ Saturation,capture,,,1752771663635
O₂ Saturation,capture,,,1752771664655
O₂ Saturation,keypad open,,,1752771664656
O₂ Saturation,keypad press,1,1,1752771665755
O₂ Saturation,keypad press,11,10,1752771666514
O₂ Saturation,keypad press,11,100,1752771666779
O₂ Saturation,show action buttons,,,1752771667451
O₂ Saturation,keypad press,10,100,1752771667451
emergency,trying to change destination to19,,,1752771668142
O₂ Saturation,log,,,1752771668659
O₂ Saturation,log,,,1752771668660
Ground speaking,"N A S X G S, this is Ground Control asking for update on flight status, patient status and estimated time to destination.",,,1752771668945
radio update,radio update asked,,,1752771668945
radio prompt,radio update prompt 3,,,1752771668945
O₂ Saturation,log,,,1752771669676
O₂ Saturation,save,,,1752771670082
O₂ Saturation,save,,,1752771670082
O₂ Saturation,save,,,1752771671100
Blood Pressure,opened sensor tab,,,1752771671979
Jarvis speaking,Message: All clear. Enjoy the flight Stress level: normal,,,1752771672097
emergency,trying to change destination to19,,,1752771673161
Blood Pressure,capture,,,1752771673474
Blood Pressure,capture,,,1752771673475
Blood Pressure,capture,,,1752771674489
Blood Pressure,keypad open,,,1752771674490
Blood Pressure,keypad press,1,1,1752771675307
Blood Pressure,keypad press,2,12,1752771675827
Blood Pressure,keypad press,11,120,1752771676458
Blood Pressure,keypad press,8,1208,1752771676875
Blood Pressure,keypad press,11,12080,1752771677163
