page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1752760585610
Heart Rate,capture,,,1752760589449
Heart Rate,capture,,,1752760589450
Heart Rate,capture,,,1752760590461
Heart Rate,keypad open,,,1752760590462
Heart Rate,keypad press,5,5,1752760594409
Heart Rate,keypad press,2,52,1752760595032
Heart Rate,show action buttons,,,1752760595728
Heart Rate,keypad press,10,52,1752760595729
Heart Rate,log,,,1752760600041
Heart Rate,log,,,1752760600041
Heart Rate,log,,,1752760601057
Heart Rate,save,,,1752760602016
Heart Rate,save,,,1752760602017
Heart Rate,save,,,1752760603035
O₂ Saturation,opened sensor tab,,,1752760605897
O₂ Saturation,capture,,,1752760607769
O₂ Saturation,capture,,,1752760607770
O₂ Saturation,capture,,,1752760608782
O₂ Saturation,keypad open,,,1752760608785
O₂ Saturation,keypad press,9,9,1752760611485
O₂ Saturation,keypad press,9,99,1752760611697
O₂ Saturation,show action buttons,,,1752760613129
O₂ Saturation,keypad press,10,99,1752760613130
O₂ Saturation,log,,,1752760614194
O₂ Saturation,log,,,1752760614195
O₂ Saturation,log,,,1752760615211
O₂ Saturation,save,,,1752760615800
O₂ Saturation,save,,,1752760615802
O₂ Saturation,save,,,1752760616816
Blood Pressure,opened sensor tab,,,1752760619353
Blood Pressure,capture,,,1752760620601
Blood Pressure,capture,,,1752760620601
Blood Pressure,capture,,,1752760621620
Blood Pressure,keypad open,,,1752760621621
Blood Pressure,keypad press,1,1,1752760622865
Blood Pressure,keypad press,2,12,1752760623457
Blood Pressure,keypad press,11,120,1752760625161
Blood Pressure,keypad press,8,1208,1752760627201
Blood Pressure,keypad press,11,12080,1752760628025
Blood Pressure,keypad press,10,12080,1752760628587
Blood Pressure,log,,,1752760629840
Blood Pressure,log,,,1752760629841
Blood Pressure,log,,,1752760630855
Blood Pressure,save,,,1752760630888
Blood Pressure,save,,,1752760630888
Blood Pressure,save,,,1752760631907
submit,submit,,,1752760632872
submit,submit,,,1752760632873
speak text,Receieved text and level:Are you ready to start?normal,,,1752760685606
Jarvis speaking,Message: Are you ready to start? Stress level: normal,,,1752760685606
,Controller Executing: click on start-button with value: undefined,,,1752760689235
index,confirm button pressed,,,1752760689236
,,,,
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1752760690853
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1752760690854
map,selected helipad,,,1752760701301
speak text,Receieved text and level:Please confirm the destination Emory University Hospitalnormal,,,1752760712254
Jarvis speaking,Message: Please confirm the destination Emory University Hospital Stress level: normal,,,1752760712254
,Controller Executing: click on confirm-button with value: undefined,,,1752760721573
,,,,
checklist,opened page,,,1752760721645
map,selected helipad,,,1752760722624
checklist,toggled checkbox,,,1752760736413
checklist,toggled checkbox,,,1752760738416
checklist,toggled checkbox,,,1752760740482
checklist,showing confirm button,,,1752760740483
checklist,confirm button clicked,,,1752760741869
countdown,opened page,,,1752760741949
map,selected helipad,,,1752760742921
countdown,countdown now 4,,,1752760742949
speak text,"Receieved text and level:Acknowledge, Taking Offnormal",,,1752760743072
Jarvis speaking,"Message: Acknowledge, Taking Off Stress level: normal",,,1752760743072
countdown,countdown now 3,,,1752760743955
countdown,countdown now 2,,,1752760744950
countdown,countdown now 1,,,1752760745950
countdown,countdown now 0,,,1752760746950
countdown,countdown complete,,,1752760747949
,Starting prompt cycle,,,1752760748547
,Starting prompt cycle,,,1752760748555
map,selected helipad,,,1752760749000
emergency,trying to change destination to100,,,1752760753029
inflight,displaying vitals prompt,,,1752760754439
vitals prompt,log vitals prompted,,,1752760754440
emergency,trying to change destination to19,,,1752760758030
emergency,trying to change destination to19,,,1752760763037
emergency,trying to change destination to19,,,1752760768030
vitals prompt,auto off vitals prompt,,,1752760769441
emergency,trying to change destination to19,,,1752760773036
emergency,trying to change destination to19,,,1752760778048
emergency,trying to change destination to19,,,1752760783067
emergency,trying to change destination to19,,,1752760788039
emergency,trying to change destination to19,,,1752760793049
emergency,trying to change destination to19,,,1752760798058
radio update,radio update asked,,,1752760801647
