page,action,key,value,timestamp
Heart Rate,opened sensor tab,,,1752873117100
Heart Rate,keypad open,,,1752873117101
Heart Rate,show action buttons,,,1752873117102
Heart Rate,opened sensor tab,,,1752873525277
Heart Rate,capture,,,1752873528597
Heart Rate,capture,,,1752873528597
Heart Rate,capture,,,1752873529613
Heart Rate,keypad open,,,1752873529613
Heart Rate,keypad press,5,5,1752873535573
Heart Rate,keypad press,5,55,1752873535748
Heart Rate,keypad press,10,55,1752873537421
Heart Rate,log,,,1752873539837
Heart Rate,log,,,1752873539837
Heart Rate,log,,,1752873540860
Heart Rate,save,,,1752873542385
Heart Rate,save,,,1752873542386
Heart Rate,save,,,1752873543404
O₂ Saturation,opened sensor tab,,,1752873547085
O₂ Saturation,capture,,,1752873549980
O₂ Saturation,capture,,,1752873549980
O₂ Saturation,capture,,,1752873550998
O₂ Saturation,keypad open,,,1752873550998
O₂ Saturation,keypad press,1,1,1752873552332
O₂ Saturation,keypad press,11,10,1752873553318
O₂ Saturation,keypad press,11,100,1752873553526
O₂ Saturation,show action buttons,,,1752873554116
O₂ Saturation,keypad press,10,100,1752873554116
O₂ Saturation,log,,,1752873555437
O₂ Saturation,log,,,1752873555437
O₂ Saturation,log,,,1752873556452
O₂ Saturation,save,,,1752873557325
O₂ Saturation,save,,,1752873557325
O₂ Saturation,save,,,1752873558343
Blood Pressure,opened sensor tab,,,1752873560412
Blood Pressure,capture,,,1752873561972
Blood Pressure,capture,,,1752873561972
Blood Pressure,capture,,,1752873562992
Blood Pressure,keypad open,,,1752873562992
Blood Pressure,keypad press,1,1,1752873564692
Blood Pressure,keypad press,2,12,1752873565205
Blood Pressure,keypad press,11,120,1752873565925
Blood Pressure,keypad press,8,1208,1752873566908
Blood Pressure,keypad press,11,12080,1752873567381
Blood Pressure,keypad press,7,120807,1752873569460
Blood Pressure,keypad press,7,1208077,1752873569663
Blood Pressure,keypad press,7,12080777,1752873569964
Blood Pressure,keypad press,12,1208077,1752873571237
Blood Pressure,keypad press,12,120807,1752873571460
Blood Pressure,keypad press,12,12080,1752873571708
Blood Pressure,show action buttons,,,1752873572573
Blood Pressure,keypad press,10,12080,1752873572574
Blood Pressure,log,,,1752873591947
Blood Pressure,log,,,1752873591948
Blood Pressure,log,,,1752873592958
Blood Pressure,save,,,1752873594093
