ID,Scenario,VitalPrompt,PromptTimestamp,Sensor,Action,Value,SensorTimestamp,Submitted
2105,4,log vitals prompted,1752590601302,Heart Rate,capture,,1752590607191,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,capture,,1752590607191,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,capture,,1752590608207,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,keypad open,,1752590608207,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,keypad press,5,1752590609061,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,keypad press,55,1752590609214,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,show action buttons,,1752590609678,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,keypad press,55,1752590609678,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,log,,1752590610358,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,log,,1752590610359,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,log,,1752590611375,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,save,,1752590611534,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,save,,1752590611534,1752590633336
2105,4,log vitals prompted,1752590601302,Heart Rate,save,,1752590612552,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,opened sensor tab,,1752590613575,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,capture,,1752590614624,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,capture,,1752590615644,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,keypad open,,1752590615644,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,keypad press,1,1752590616312,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,keypad press,10,1752590617118,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,keypad press,100,1752590617263,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,keypad press,100,1752590617879,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,log,,1752590618558,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,log,,1752590618558,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,log,,1752590619575,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,save,,1752590620335,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,save,,1752590620336,1752590633336
2105,4,log vitals prompted,1752590601302,O₂ Saturation,save,,1752590621354,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,opened sensor tab,,1752590622048,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,capture,,1752590622974,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,capture,,1752590622974,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,capture,,1752590623988,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad open,,1752590623989,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad press,1,1752590625070,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad press,12,1752590625470,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad press,120,1752590626174,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad press,1208,1752590626886,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad press,12080,1752590627382,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,show action buttons,,1752590627942,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,keypad press,12080,1752590627942,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,log,,1752590628760,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,log,,1752590629778,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,save,,1752590630870,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,save,,1752590630871,1752590633336
2105,4,log vitals prompted,1752590601302,Blood Pressure,save,,1752590631890,1752590633336
2105,4,log vitals prompted,1752590601302,submit,submit,,1752590633336,1752590633336
2105,4,log vitals prompted,1752590700833,Heart Rate,opened sensor tab,,1752590713071,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,capture,,1752590713975,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,capture,,1752590713975,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,capture,,1752590714991,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,keypad open,,1752590714992,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,keypad press,5,1752590715999,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,keypad press,55,1752590716183,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,show action buttons,,1752590716744,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,keypad press,55,1752590716744,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,log,,1752590718495,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,log,,1752590719514,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,save,,1752590720551,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,save,,1752590720552,1752590743064
2105,4,log vitals prompted,1752590700833,Heart Rate,save,,1752590721571,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,opened sensor tab,,1752590722464,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,capture,,1752590723471,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,capture,,1752590723472,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,capture,,1752590724491,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,keypad open,,1752590724491,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,keypad press,1,1752590725759,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,keypad press,10,1752590726495,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,keypad press,100,1752590726686,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,keypad press,100,1752590727080,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,log,,1752590728920,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,log,,1752590728920,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,log,,1752590729929,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,save,,1752590730966,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,save,,1752590730967,1752590743064
2105,4,log vitals prompted,1752590700833,O₂ Saturation,save,,1752590731986,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,opened sensor tab,,1752590732791,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,capture,,1752590733775,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,capture,,1752590733775,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,capture,,1752590734792,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,keypad open,,1752590734792,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,keypad press,1,1752590735484,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,keypad press,12,1752590735887,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,keypad press,120,1752590736711,1752590743064
2105,4,log vitals prompted,1752590700833,Blood Pressure,keypad press,1208,1752590737247,1752590743064
